PARTITION AVAIL  TIMELIMIT  NODES  STATE NODELIST
normal*      up 7-00:00:00     88   resv c1-[1-22,24-28,30,32-37,39-52,56],c2-[1-3,6,8,10-18,21-23,29-33,36-39,43,54-56],c3-[1-2,5-6,8-10,13,15]
normal*      up 7-00:00:00      5    mix c5-28,c10-41,c11-[31,57-58]
normal*      up 7-00:00:00    226  alloc c1-[23,29,31,38,53-55],c2-[4-5,7,9,19-20,24-28,34-35,40-42,44-53],c3-[3-4,7,11-12,14,16-28],c5-[1-27,29-59],c10-[1-40,42-60],c11-[1-30,32-56,59-60]
bigmem       up 14-00:00:0      1 drain* c6-2
bigmem       up 14-00:00:0     32    mix c3-[29-35,38-56],c6-[1,3-7]
bigmem       up 14-00:00:0      2  alloc c3-[36-37]
bigmem       up 14-00:00:0      1   idle c6-8
accel        up 14-00:00:0      2    mix c7-[3,8]
accel        up 14-00:00:0      4  alloc c7-[1-2,4,6]
accel        up 14-00:00:0      2   idle c7-[5,7]
optimist     up   infinite      1 drain* c6-2
optimist     up   infinite     88   resv c1-[1-22,24-28,30,32-37,39-52,56],c2-[1-3,6,8,10-18,21-23,29-33,36-39,43,54-56],c3-[1-2,5-6,8-10,13,15]
optimist     up   infinite     39    mix c3-[29-35,38-56],c5-28,c6-[1,3-7],c7-[3,8],c10-41,c11-[31,57-58]
optimist     up   infinite    232  alloc c1-[23,29,31,38,53-55],c2-[4-5,7,9,19-20,24-28,34-35,40-42,44-53],c3-[3-4,7,11-12,14,16-28,36-37],c5-[1-27,29-59],c7-[1-2,4,6],c10-[1-40,42-60],c11-[1-30,32-56,59-60]
optimist     up   infinite      3   idle c6-8,c7-[5,7]
